name,state,url,dedicated_to,victims_count,victims_listed,about,website,street,city,address_state,zip,country,address_full,map_query,region,in_nyc
"""When terror strikes"" 9/11 Memorial",NY,https://voicescenter.org/living-memorial/memorials/when-terror-strikes-911-memorial,,0,,"Text on the memorial: ""When Terror Strikes"" by Norman D. Roth This mural is dedicated to those who lost their lives on 9/11 and to the men and women of fire and EMS everywhere. This is a tribute to their commitment and willingness to respond when needed regardless of when, where or the danger involved.

This 9/11 memorial is a mural painted on the side of the Oswego Town fire station, Oswego, New York.This mural depicts the twin towers, before and after the attacks. There are depictions of fire and EMS rescue personnel, an American Eagle, and several other related items as well.",,County Route 20,Oswego,NY,13126,United States,"County Route 20, Oswego, NY  13126, United States","County Route 20, Oswego, NY",,False
"117 Marshall St. Syracuse, New York",NY,https://voicescenter.org/living-memorial/memorials/117-marshall-st-syracuse-new-york,,0,,United We Stand Mural,,117 Marshall St,Syracuse,NY,13210,United States,"117 Marshall St, Syracuse, NY  13210, United States","117 Marshall St, Syracuse, NY",,False
14th Street 9/11 Memorial,NY,https://voicescenter.org/living-memorial/memorials/14th-street-911-memorial,,0,,,,,New York,NY,10009,United States,"New York, NY  10009, United States",", New York, NY",Manhattan,True
1993 WTC Bombing Memorial,NY,https://voicescenter.org/living-memorial/memorials/1993-wtc-bombing-memorial,Victims of the 1993 WTC Bombing,0,,"The original granite fountain memorial for the victims of the 1993 bombing of the World Trade Center was destroyed when the towers collapsed on September 11, 2001. During the rescue and recovery operation, a fragment of the original memorial was found. Clearly visible was ""John D,"" part of the name of Mr. DiGiovanni, one of the six victims.

On February 26, 2005, the Port Authority of New York and New Jersey joined with Governor George Pataki, Acting Governor Richard Codey, and Mayor Bloomberg to dedicate a temporary memorial to pay tribute to the victims. This fragment was preserved in the interim memorial and has now been moved to its permanent home in the 9/11 Memorial Museum.

The 1993 victims are also remembered at the 9/11 Memorial Plaza. Their names may be found on the North Pool.",,Liberty Street,New York,NY,10048,United States,"Liberty Street, New York, NY  10048, United States","Liberty Street, New York, NY",Manhattan,True
9/11 Memorial at Haverstraw Bay Park,NY,https://voicescenter.org/living-memorial/memorials/911-memorial-haverstraw-bay-park,,1,"Michael J. Armstrong ""Mike""",,,22 Gagen Rd,West Haverstraw,NY,10993,United States,"22 Gagen Rd, West Haverstraw, NY  10993, United States","22 Gagen Rd, West Haverstraw, NY",Rockland County,False
